"datetimestamp","atemp","rh","bp","wspd","maxwspd","wdir","sdwdir","totpar","totprcp","totsorad","Month","Year","Month_number","Month_Year"
2003-01-18 06:45:00,0,63,1024,2.3,NA,295,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-18 07:00:00,-0.2,64,1024,2.1,NA,261,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-18 07:15:00,-0.4,65,1025,1.2,NA,268,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-18 07:30:00,-0.3,64,1025,1.8,NA,274,NA,10.8,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 00:45:00,-0.7,80,1026,0.4,NA,209,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 01:00:00,-1.5,84,1026,0.5,NA,221,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 01:15:00,-1.3,86,1026,0.2,NA,241,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 01:30:00,-0.9,86,1025,1,NA,227,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 01:45:00,-0.6,86,1026,0.9,NA,227,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 02:00:00,-0.1,86,1026,0.9,NA,268,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 02:15:00,-0.2,85,1026,1.3,NA,282,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 02:30:00,-0.2,85,1026,2,NA,230,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 02:45:00,-0.2,83,1026,1.9,NA,266,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 03:00:00,0,82,1026,1.4,NA,265,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 03:15:00,-0.2,81,1026,2.1,NA,254,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 03:30:00,-0.2,79,1026,1.3,NA,277,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 03:45:00,-0.4,79,1026,2,NA,284,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 04:00:00,-0.5,78,1026,0.9,NA,286,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 04:15:00,-0.5,77,1026,1.1,NA,276,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 04:30:00,-0.5,75,1026,1.1,NA,279,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 04:45:00,-0.5,74,1026,1.9,NA,270,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 05:00:00,-0.4,73,1027,1.2,NA,271,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 05:15:00,-0.3,71,1026,0.9,NA,266,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 05:30:00,-0.5,71,1027,1.3,NA,238,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 05:45:00,-0.4,71,1027,1.1,NA,244,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 06:00:00,-0.7,71,1027,1.3,NA,229,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 06:15:00,-0.6,72,1027,0.8,NA,261,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
2003-01-19 06:30:00,-0.6,72,1027,1,NA,226,NA,0,0,NA,"Jan",2003,1,"Jan 2003"
